EventCode,EventDetails,EventDescription
144,RequestBlocked,"The Federation Service Proxy blocked an illegitimate request made by a client, as there was no matching endpoint registered at the proxy. This could point to a DNS misconfiguration, a partially configured application published through the proxy, or a malicious request. Url Path: %1 "
147,InvalidClaimsProviderError,"A token was received from a claims provider identified by the key '%1', but the token could not be validated because the key does not identify any known claims provider trust. Key: %1 This request failed. User Action If this key represents the certificate thumbprint of a claims provider trust, verify that it matches the signing certificate of the claims provider trust in the AD FS configuration database. "
149,AttributeStoreLoadFailure,"During processing of the Federation Service configuration, the attribute store '%1' could not be loaded. Attribute store type: %2 User Action If you are using a custom attribute store, verify that the custom attribute store is configured using AD FS Management snap-in. Additional Data %3 "
155,MetadataListenerError,The Federation Service was unable to listen at '%1' for metadata document requests due to an unexpected error. Additional Data %Exception details: %2 
156,TrustMonitoringInitiated,Trust monitoring cycle initiated. 
157,TrustMonitoringComplete,Trust monitoring cycle completed. 
159,TrustMonitoringConfigurationDatabaseWriteError,The Federation Service encountered an error while writing to the following object in the configuration database. Object Type: %1 Name: %2 Metadata document URL: %3 Additional Data Exception details: %4 Additional details: %5 
163,TrustMonitoringInitiationError,"An error occurred during initialization of trust monitoring. Trust monitoring against the published partner configuration will be disabled for the lifetime of this service. Additional Data Exception details: %1 User Action If you want to try to start the trust monitoring service again, restart the Federation Service. "
164,TrustMonitoringConfigurationDatabaseError,An error occurred during a read operation from the configuration database. Trust monitoring was shut down and will be tried again after an amount of time that corresponds to the trust monitoring interval. Additional Data Exception details: %1 Additional details: %2 
165,TrustMonitoringGenericError,An error occurred during trust monitoring. The trust monitoring cycle was shut down. Additional Data Exception details: %1 Additional details: %2 
166,TrustMonitoringMetadataFormatError,Trust monitoring service encountered an error while parsing the metadata document from '%1'. Trust monitoring failed for: Object Type: %2 Name: %3 Additional Data Exception details: %4 Additional details: %5 
167,TrustMonitoringMetadataProcessingError,Trust monitoring service encountered an error while applying the data in the metadata document from '%1'. Trust monitoring failed for: Object Type: %2 Name: %3 Additional Data Exception details: %4 Additional details: %5 
168,TrustManagementMetadataRequestError,"The Federation Service encountered an error while retrieving the federation metadata document from '%1'. The monitoring for the following trusts failed: Claims providers: %2 Relying parties: %3 Additional Data Exception details: %4 Additional details: %5 User Action Make sure federation metadata URL is accessible. Verify your proxy server setting. For more information about how to verify your proxy server setting, see the AD FS Troubleshooting Guide (http://go.microsoft.com/fwlink/?LinkId=182180). "
171,SuccessfulAutoUpdate,The trust monitoring service automatically updated the trust of '%1' successfully with the partner's published changes. 
173,SuccessfulAutoUpdateWithWarning,The trust monitoring service automatically updated the trust of '%1' successfully with the partner's published changes. Additional Data Warnings: %2 
174,AutoUpdateSkippedWithWarning,"Trust monitoring service detected changes in policy of '%1', but did not automatically apply the changes on the trust partner. Additional Data Warnings: %2 "
180,MinorVersionUpgradeError,An error occurred while upgrading FarmBehaviorLevel '%1' from Minor Version '%2' to Minor Version '%3'. Additional Data Exception details: %4 
184,InvalidRelyingPartyError,"A token request was received for a relying party identified by the key '%1', but the request could not be fulfilled because the key does not identify any known relying party trust. Key: %1 This request failed. User Action If this key represents a URI for which a token should be issued, verify that its prefix matches the relying party trust that is configured in the AD FS configuration database. "
186,PolicyDuplicateNameIdentifier,The Federation Service could not fulfill the token-issuance request. More than one claim based on SamlNameIdentifierClaimResource was produced after the issuance See event 500 with the same Instance ID for claims after application of issuance transform rules. Additional Data Instance ID: %1 User Action Ensure that the issuance transform rules that are configured for the relying party do not result in multiple claims based on SamlNameIdentifierClaimResource. 
193,PolicyUnknownAuthenticationTypeError,The Federation Service could not satisfy a token request because the relying party requested an unknown authentication type. Comparison type: %1 Desired authentication type(s): %2 Relying party: %3 This request failed. User Action Use the AD FS PowerShell commands to configure the authentication context order property. Ensure that the relying party is configured to request the correct authentication type. 
197,ConfigurationInvalidAuthenticationTypeError,The Federation Service could not satisfy a token request because the accompanying credentials do not meet the authentication type requirement of '%2' for the relying party '%3'. Authentication type: %1 Desired authentication type(s): %2 Relying party: %3 This request failed. 
198,FsProxyServiceStart,The federation server proxy started successfully. 
199,ProxyStartupException,The federation server proxy could not be started. Reason: %1 Additional Data Exception details: %2 
200,FsProxyServiceStop,The federation server proxy stopped successfully. 
201,ServiceHostOpenAddressAccessDeniedError,The Federation Service %1 encountered an Access Denied error while trying to register one or more endpoint URLs. This condition typically occurs when the ACL for the endpoint URL is missing or the HTTP namespace in the ACL is not a prefix match of the endpoint URL. The %1 could not be opened. User Action Ensure that a valid ACL for each of the URLs has been configured on this computer. Additional Data Exception details: %2 
202,ServiceHostOpenError,The Federation Service %1 could not be opened. Additional Data Exception details: %2 
203,ServiceHostAbortError,The Federation Service %1 could not be shut down properly. Additional Data Exception details: %2 
204,ServiceHostCloseError,The Federation Service %1 could not be closed. Additional Data Exception details: %2 
206,EmptyOrMissingWSFederationPassiveEndpoint,The Federation Service could not fulfill the token-issuance request because the relying party '%1' is missing a WS-Federation Passive endpoint address. Relying party: %1 This request failed. User Action Use the AD FS Management snap-in to configure a WS-Federation Passive endpoint on this relying party. 
207,FailureWritingToAuditLog,An attempt to write to the Security event log failed. Additional Data Windows error code: %1 Exception details: %2 
208,InsufficientPrivilegesWritingToAuditLogError,An error occurred during an attempt to register the event source for the Security log. User Action Ensure that the Federation Service has the correct permissions to write to the Security log. 
209,AuditLogEventSourceCouldNotBeRegisteredError,The Security log event source for the Federation Service could not be registered. Additional Data Windows error code: %1 Exception details: %2 
215,FsProxyNoEndpointsConfigured,"The Federation Service at '%1' did not return any WS-Trust endpoints to be published by the federation server proxy. User Action If you want to publish WS-Trust endpoints to the federation server proxy, make sure that the endpoints are enabled for proxy use on the federation server. "
217,BindingConfigurationError,A WS-Trust endpoint that was configured could not be opened. Additional Data Address: %1 Mode: %2 Error: %3 
218,FsProxyServiceConnectionFailedServiceUnavailable,The federation server proxy received error code '%2' while making a request to the Federation Service at '%1'. This could mean that the Federation Service is not started on the remote host. User Action Verify that the Federation Service is running on the remote host. 
220,ServiceConfigurationInitializationError,The Federation Service configuration could not be loaded correctly from the AD FS configuration database. Additional Data Error: %1 
221,ServiceConfigurationReloadError,"A change to the token service configuration was detected, but there was an error reloading the changes to configuration. Additional Data Error: %1 "
222,FsProxyServiceConnectionFailedTimeout,The federation server proxy was unable to complete a request to the Federation Service at address '%1' because of a time-out. This might mean that the Federation Service is currently unavailable. User Action Verify that the Federation Service is running. 
223,ClaimDescriptionReloadError,Claim description could not be loaded correctly from the database. Additional Data Error: %1 
224,ProxyConfigurationRefreshError,The federation server proxy configuration could not be updated with the latest configuration on the federation service. Additional Data Error: %1 
230,ProxyCongestionWindowMinimumSize,"The federation server proxy has detected congestion, caused by high latency response times, on the Federation Service. The load might be above the Federation Service operating capacity, or there might be network connectivity issues. Request throttling has been enforced to limit the number of concurrent requests to the following size: %1. User Action Verify that the Federation Service is operating within its operating capacity. Verify that the Federation Service is not experiencing network outages. "
238,AttributeStoreFindDCFailedError,The Federation Service failed to find a domain controller for the domain %1. Additional Data Domain Name: %1 Error: %2 User Action Use Nltest to determine why DC locator is failing. Nltest is part of the Windows Support Tools. 
244,MetadataExchangeListenerError,The Federation Service was unable to listen at '%1' for WS-MetadataExchange requests due to an unexpected error. Additional Data %Exception details: %2 
245,ProxyConfigurationRefreshSuccess,The federation server proxy successfully retrieved and updated its configuration from the Federation Service '%1'. 
246,LdapDCConnectionError,"The Federation Service encountered an error during an attempt to connect to a LDAP server at %1. Additional Data Domain Name: %1 LDAP server hostname (if available): %2 Authentication type: %3 SSL mode: %4 Username (if available): %5 Error code (if available): %6 Error from LDAP server (if available): %7 Exception Details: %8 User Action Check the network connectivity to the LDAP server. Also, check whether the LDAP server is configured properly. "
247,LdapGCConnectionError,"The Federation Service encountered an error while connecting to a global catalog server at %1. Additional Data Domain Name: %1 Global Catalog hostname (if available): %2 Authentication type: %3 SSL mode: %4 Username (if available): %5 Error code (if available): %6 Error from server (if available): %7 Exception Details: %8 User Action Troubleshoot the network connectivity to the global catalog server. Also, verify that the global catalog server is configured properly. "
248,ProxyEndpointsRetrievalError,"The federation server proxy was not able to retrieve the list of endpoints from the Federation Service at %1. The error message is '%2'. User Action Make sure that the Federation Service is running. Troubleshoot network connectivity. If the trust between the federation server proxy and the Federation Service is lost, run the Federation Server Proxy Configuration Wizard again. "
249,AdditionalCertificateLoadWarning,"The certificate identified by thumbprint '%1' could not be found in the certificate store. In certificate rollover scenarios, this can potentially cause a failure when the Federation Service is signing or decrypting using this certificate. User Action Ensure that the certificate that is identified by thumbprint '%1' has been added to the Localmachine ""My"" store and that it is accessible by the service account of the Federation Service. "
250,ArtifactExpirationError,Expiration of the artifact failed. Additional Data Exception message: %1 User Action Ensure that the artifact storage server is configured properly. Troubleshoot network connectivity to the artifact storage server. 
251,AttributeStoreLoadSuccess,Attribute store '%1' is loaded successfully. 
252,ProxyHttpListenerStartupInfo,The AD FS proxy service made changes to the endpoints it is listening on based on the configuration it retrieved from the Federation Service. Endpoints added: %1 Endpoints removed: %2 
253,ProxyHttpListenerStartupError,AD FS proxy service failed to start a listener for the endpoint '%1' Exceptiondetails: %2 User action: Ensure that no conflicting SSL bindings are configured for the specified endpoint. 
258,ConfigurationMissingAssertionConsumerServicesError,The relying party '%1' is not configured with SAML Assertion Consumer Services. Relying party: %1 This request failed. User Action Use the AD FS Management snap-in to configure one or more Assertion Consumer Services for this relying party. 
259,ConfigurationAssertionConsumerServiceIndexDoesNotMatchError,The request specified an Assertion Consumer Service index '%1' that is not configured on the relying party '%2'. Assertion Consumer Service index: %1 Relying party: %2 This request failed. User Action Use the AD FS Management snap-in to configure an Assertion Consumer Service with the specified index for this relying party. 
260,ConfigurationAssertionConsumerServiceProtocolBindingDoesNotMatchError,The request specified an Assertion Consumer Service protocol binding '%1' that is not configured on the relying party '%2'. Assertion Consumer Service protocol binding: %1 Relying party: %2 This request failed. User Action Use the AD FS Management snap-in to configure an Assertion Consumer Service with the specified protocol binding for this relying party. 
261,ConfigurationAssertionConsumerServiceUrlDoesNotMatchError,The request specified an Assertion Consumer Service URL '%1' that is not configured on the relying party '%2'. Assertion Consumer Service URL: %1 Relying party: %2 This request failed. User Action Use the AD FS Management snap-in to configure an Assertion Consumer Service with the specified URL for this relying party. 
262,ArtifactResolutionFailed,The artifact resolution request failed. Additional Data Exception message: %1 
273,ConfigurationAssertionConsumerServiceNotFoundError,"The request specified an assertion consumer service that is not configured or not supported on the relying party '%4'. Request parameters: '%1', '%2', '%3' Relying party: %4 This request failed. User Action Use the AD FS Management snap-in to configure an assertion consumer service with the specified parameters for this relying party. Also, check whether the artifact resolution service is enabled if the SAML artifact is requested. "
274,FsProxyEndpointListenerAccessDeniedError,The federation server proxy encountered an error while trying to listen on one of the proxy endpoints. The federation server proxy will not be able to start until it can listen on all required proxy endpoints. Proxy Endpoints: %1 User Action Ensure that the permissions on the URLs of the proxy endpoints allow the federation server proxy security account (the default is Network Service) to listen on them. 
275,FsProxySslTrustError,The federation server proxy could not establish a trust relationship for the SSL secure channel with the Federation Service %1. Error Message: %2 User Action Ensure that the SSL certificate for Federation Service '%1' is valid and trusted by the federation server proxy. 
276,FsProxyServiceNotTrustedOnStsError,"The federation server proxy was not able to authenticate to the Federation Service. User Action Ensure that the proxy is trusted by the Federation Service. To do this, log on to the proxy computer with the host name that is identified in the certificate subject name and re-establish trust between the proxy and the Federation Service using the Install-WebApplicationProxy cmdlet. Additional Data Certificate details: Subject Name: %1 Thumbprint: %2 NotBefore Time: %3 NotAfter Time: %4 Client endpoint: %5 "
277,UnhandledExceptionError,The Federation Service encountered an unexpected exception and has shut down. Additional Data Exception details: %1 
278,ArtifactResolutionEndpointNotConfiguredError,"The SAML artifact resolution endpoint is not configured or it is disabled. User Action If SAML artifact resolution is required, use the AD FS Management snap-in to configure or enable the SAML artifact resolution endpoint. "
279,SamlArtifactResolutionClaimsProviderNotFoundError,Unable to find a claims provider trust for SAML artifact resolution in the AD FS configuration database. SAML artifact: %1 This request failed. User Action Verify that a claims provider trust exists in the AD FS configuration database. Make sure that the data for the claims provider trust is up to date. 
280,ClaimsProviderMissingArtifactServiceError,Unable to resolve the SAML artifact from the claims provider because the claims provider trust does not have the artifact resolution service configured. Claims provider trust: %1 This request failed. User Action Verify that the claims provider trust in the AD FS configuration database is up to date. Add the artifact resolution service endpoint to the claims provider trust. 
281,SamlArtifactResolutionEndpointNotFoundError,Unable to resolve the SAML artifact from the claims provider because the claims provider trust does not have the required artifact resolution endpoint with the specified index configured. Claims provider trust: %1 Required endpoint index: %2 This request failed. User Action Verify that the claims provider trust in the AD FS configuration database is up to date. Use the AD FS Management snap-in to configure the artifact resolution endpoint with the specified index. 
282,SamlArtifactResolutionSignatureVerificationFailureAudit,Unable to resolve the SAML artifact. Verification of the artifact response signature failed. Claims provider: %1 This request failed. User Action Verify that the claims provider trust in the AD FS configuration database is up to date using AD FS Management snap-in. Verify that the claims provider trust's certificate is up to date. 
283,SamlArtifactResolutionRequestError,"Unable to resolve the SAML artifact. The artifact resolution request to the claims provider failed. See inner exception for more details. SAML Artifact: %1 Claims provider: %2 Inner exception: %3 This request failed. User Action Verify that the claims provider trust in the AD FS configuration database is up to date. Verify network connectivity. Verify your proxy server setting. For more information about how to verify your proxy server setting, see the AD FS Troubleshooting Guide (http://go.microsoft.com/fwlink/?LinkId=182180). "
284,SamlArtifactResolutionResponseVerificationError,Unable to resolve the SAML artifact. A malformed response was received from the claims provider. See inner exception for more details. SAML artifact: %1 Claims provider: %2 This request failed. User Action Verify that the claims provider trust in the AD FS configuration database is up to date. 
285,SamlArtifactResolutionBadResponseError,"The SAML artifact was resolved, but the response is empty or does not contain expected assertions. SAML artifact: %1 Claims provider: %2 This request failed. User Action For more information, contact the claims provider. "
286,ArtifactStorageConnectionOpenError,"Cannot connect to the artifact database. Connection string: %1 Error message: %2 User Action Ensure that the artifact database is configured properly. Use the Set-ADFSProperties cmdlet with the ArtifactDbConnection parameter in the Windows PowerShell for AD FS to modify the connection string, if necessary. Troubleshoot the connectivity to the artifact storage . "
287,ArtifactStorageAddError,Cannot add the artifact to the artifact database. See exception message for more details. Artifact ID: %1 Inner exception details: %2 User Action Ensure that the artifact database is configured properly. Troubleshoot the connectivity to the artifact database. 
288,ArtifactStorageGetError,Cannot get the artifact from storage. See exception message for more details. ArtifactId: %1 Inner exception details: %2 User Action Ensure that the artifact storage in the AD FS configuration database is configured properly. Troubleshoot connectivity to the artifact storage in the AD FS configuration database. 
289,ArtifactStorageRemoveError,Cannot remove the artifact from storage. See inner exception message for more details. ArtifactId: %1 Inner exception details: %2 User Action Ensure that the artifact storage in the AD FS configuration database is configured properly. Troubleshoot connectivity to the artifact storage in the AD FS configuration database. 
290,ArtifactStorageExpireError,Cannot set expiration for the artifacts in storage. See inner exception message for more details. Inner exception details: %1 User Action Ensure that the artifact storage in the AD FS configuration database is configured properly. Troubleshoot connectivity to the artifact storage in the AD FS configuration database. 
291,ArtifactServiceStartupException,The artifact resolution service could not be started. Additional Data Exception details: %1 User Action Make sure artifact resolution service is properly configured. 
292,ArtifactResolutionServiceSignatureVerificationFailureAudit,The Artifact Resolution Service could not verify request signature. Additional Data Exception details: %1 
293,ArtifactRequestedButDisabledError,A SAML request for the required artifact was rejected because the artifact resolution service is not enabled. Relying party: %1 This request failed. User Action Enable the artifact resolution service. Use the AD FS Management snap-in to configure or enable the SAML artifact resolution endpoint. 
294,ArtifactResolutionServiceIdentityNotFoundError,The SAML artifact resolution request specified an issuer that is not configured for the relying party. Relying party: %1 Artifact resolution request issuer: %2 This artifact resolution request failed. User Action Ensure that the relying party is configured properly using the AD FS Management snap-in. 
296,ArtifactResolutionServiceNoSignatureFailureAudit,A SAML artifact resolution request was received without a signature. Request issuer: %1 This artifact resolution request failed. 
297,ArtifactResolutionServiceBadEndpointIndexError,The SAML artifact resolution request required an artifact resolution service endpoint with an index that is not configured. Endpoint index: %1 Configured endpoint index: %2 This artifact resolution request failed. 
299,TokenIssuanceSuccessAudit,"A token was successfully issued for the relying party '%3'. See audit 500 with the same Instance ID for issued claims. See audit 501 with the same Instance ID for caller identity. See audit 502 with the same Instance ID for OnBehalfOf identity, if any. See audit 503 with the same Instance ID for ActAs identity, if any. Instance ID: %1 Activity ID: %2 Relying party: %3 "
300,WSTrustRequestProcessingGeneralTokenIssuanceFailureAudit,The Federation Service failed to issue a token as a result of an error during processing of the WS-Trust request. Activity ID: %1 Request type: %2 Additional Data Exception details: %3 
301,ActAsAuthorizationTokenIssuanceFailureAudit,"The Federation Service could not authorize token issuance for the caller '%3' as the subject '%4' to the relying party '%5'. See audit 501 with the same Instance ID for caller identity. See audit 503 with the same Instance ID for ActAs identity, if any. Additional Data Instance ID: %1 Activity ID: %2 Relying party: %5 "
302,ActAsAuthorizationError,"The Federation Service could not authorize token issuance for caller '%2' as subject '%3' to the relying party '%4'. See event 501 with the same Instance ID for caller identity. See event 503 with the same Instance ID for ActAs identity, if any. Additional Data Instance ID: %1 Relying party: %4 Exception details: %5 User Action Use the AD FS Management snap-in to ensure that the caller is authorized to act as the subject to the relying party. "
303,SamlRequestProcessingError,The Federation Service encountered an error while processing the SAML authentication request. Additional Data Exception details: %1 
304,SamlRequestProcessingGeneralTokenIssuanceFailureAudit,The Federation Service failed to issue a token as a result of an error during processing of the SAML authentication request. Additional Data Activity ID: %1 Exception details: %2 
305,LdapDCServerError,The Federation Service encountered an error while querying a LDAP server at %1. Additional Data Domain name: %1 LDAP server hostname (if available): %2 Authentication type: %3 SSL mode: %4 Username (if available): %5 Error code (if available): %6 Error from LDAP server (if available): %7 Exception Details: %8 
306,LdapGCServerError,The Federation Service encountered an error while querying a global catalog server at %1. Additional Data Domain name: %1 Global catalog server hostname (if available): %2 Authentication type: %3 SSL mode: %4 Username (if available): %5 Error code (if available): %6 Error from server (if available): %7 Exception Details: %8 
307,ConfigurationChangeSuccessAudit,The Federation Service configuration was changed. Subject: Security ID: %2 Account: %3 See audit 510 with the same Instance ID for change details. Additional Data Instance ID: %1 Security ID: %2 Account: %3 
308,ConfigurationChangeFailureAudit,An attempt to change the Federation Service configuration failed. Error: %1 Subject: Security ID: %2 Account: %3 
309,WmiConfigurationChangeSuccessAudit,The Federation Service configuration was changed. Subject: Security ID: %1 Account: %2 Old Value: %3 New Value: %4 
310,WmiConfigurationChangeFailureAudit,An attempt to change the Federation Service configuration failed. Error : %1 Subject: Security ID: %2 Account: %3 Current Value: %4 Attempted Change: %5 
311,PerformanceCounterFailure,An attempt to update AD FS performance counters failed. Additional Data Exception details: %1 
315,ClaimsProviderSigningCertificateCrlCheckFailure,"An error occurred during an attempt to build the certificate chain for the claims provider trust '%1' certificate identified by thumbprint '%2'. Possible causes are that the certificate has been revoked, the certificate chain could not be verified as specified by the claims provider trust's signing certificate revocation settings or certificate is not within its validity period. You can use Windows PowerShell commands for AD FS to configure the revocation settings for the claims provider trust's signing certificate. Claims provider trust's signing certificate revocation settings: %3 The following errors occurred while building the certificate chain: %4 User Action: Ensure that the claims provider trust's signing certificate is valid and has not been revoked. Ensure that AD FS can access the certificate revocation list if the revocation setting does not specify ""none"" or a ""cache only"" setting. Verify your proxy server setting. For more information about how to verify your proxy server setting, see the AD FS Troubleshooting Guide (http://go.microsoft.com/fwlink/?LinkId=182180). "
316,RelyingPartySigningCertificateCrlCheckFailure,"An error occurred during an attempt to build the certificate chain for the relying party trust '%1' certificate identified by thumbprint '%2'. Possible causes are that the certificate has been revoked, the certificate chain could not be verified as specified by the relying party trust's signing certificate revocation settings or certificate is not within its validity period. You can use Windows PowerShell commands for AD FS to configure the revocation settings for the relying party signing certificate. Relying party trust's signing certificate revocation settings: %3 The following errors occurred while building the certificate chain: %4 User Action: Ensure that the relying party trust's signing certificate is valid and has not been revoked. Ensure that AD FS can access the certificate revocation list if the revocation setting does not specify ""none"" or a ""cache only"" setting. Verify your proxy server setting. For more information about how to verify your proxy server setting, see the AD FS Troubleshooting Guide (http://go.microsoft.com/fwlink/?LinkId=182180). "
317,RelyingPartyEncryptionCertificateCrlCheckFailure,"An error occurred during an attempt to build the certificate chain for the relying party trust '%1' certificate identified by thumbprint '%2'. Possible causes are that the certificate has been revoked, the certificate chain could not be verified as specified by the relying party trust's encryption certificate revocation settings or certificate is not within its validity period. You can use Windows PowerShell commands for AD FS to configure the revocation settings for the relying party encryption certificate. Relying party trust's encryption certificate revocation settings: %3 The following errors occurred while building the certificate chain: %4 User Action: Ensure that the relying party trust's encryption certificate is valid and has not been revoked. Ensure that AD FS can access the certificate revocation list if the revocation setting does not specify ""none"" or a ""cache only"" setting. Verify your proxy server setting. For more information about how to verify your proxy server setting, see the AD FS Troubleshooting Guide (http://go.microsoft.com/fwlink/?LinkId=182180). "
319,ClientCertificateCrlCheckFailure,"An error occurred while the certificate chain for the client certificate identified by thumbprint '%1' was being built. The certificate chain could not be built. The certificate has been revoked, the certificate chain could not be verified as specified by the encryption certificate revocation settings or certificate is not within its validity period. You can use the Set-ADFSProperties cmdlet with the ProxyCertRevocationCheck parameter in Windows PowerShell for AD FS to configure the client certificate revocation settings. Client Certificate Revocation Settings: %2 The following errors occurred while building the certificate chain: %3 User Action: Ensure that the client certificate is valid and has not been revoked. Ensure that the Federation Service can access the certificate revocation list if the revocation setting does not specify ""none"" or a ""cache only"" setting. Verify your proxy server setting. For more information about how to verify your proxy server setting, see the AD FS Troubleshooting Guide (http://go.microsoft.com/fwlink/?LinkId=182180). "
320,SamlProtocolSignatureVerificationError,The verification of the SAML message signature failed. Message issuer: %1 Exception details: %2 This request failed. User Action Verify that the message issuer configuration in the AD FS configuration database is up to date. Configure the signing certificate for the specified issuer. Verify that the issuer's certificate is up to date. Verify the issuer and server message signing requirements. 
321,InvalidNameIdPolicyError,The SAML authentication request had a NameID Policy that could not be satisfied. Requestor: %1 Name identifier format: %2 SPNameQualifier: %3 Exception details: %4 This request failed. User Action Use the AD FS Management snap-in to configure the configuration that emits the required name identifier. 
322,OnBehalfOfAuthorizationTokenIssuanceFailureAudit,"The Federation Service could not authorize token issuance for the caller '%3' on behalf of the subject '%4' to the relying party '%5'. See audit 501 with the same Instance ID for caller identity. See audit 502 with the same Instance ID for OnBehalfOf identity, if any. Additional Data Instance ID: %1 Activity ID: %2 Relying party: %5 "
323,OnBehalfOfAuthorizationError,"The Federation Service could not authorize token issuance for the caller '%2' on behalf of the subject '%3' to the relying party '%4'. See event 501 with the same Instance ID for caller identity. See event 502 with the same Instance ID for OnBehalfOf identity, if any. Additional Data Instance ID: %1 Exception details: %5 User Action Use the Windows PowerShell Get-ADFSClaimsProviderTrust or Get-ADFSRelyingPartyTrust cmdlet to ensure the caller is authorized on behalf of the subject to the relying party. "
324,CallerAuthorizationTokenIssuanceFailureAudit,The Federation Service could not authorize token issuance for caller '%3' to relying party '%4'. See audit 501 with the same Instance ID for caller identity. Additional Data Instance ID: %1 Activity ID: %2 Relying party: %4 
